,fecha,estacion,año,mes,festivo,dia_semana,clima,temperatura,sensacion_termica,humedad,viento,casual,casual_box,laboral_no,laboral_sí
0,2018-01-01,0.0,0,0,0,1.0,1,-0.8290698262307241,-0.6786398814640168,1.268830778719792,-0.21212121212121218,331,16.39782015107092,1.0,0.0
1,2018-02-01,0.0,0,0,1,0.0,1,-0.7224253077137877,-0.7400377489869113,0.47983848548419045,0.6969696969696969,131,11.472436698466694,0.0,1.0
2,2018-03-01,0.0,0,2,1,0.0,2,-1.6289037151077466,-1.746962776362383,-1.3778797322250893,0.6818181818181821,120,11.076034853721117,0.0,1.0
3,2018-04-01,1.5,0,2,1,0.5,2,-1.6155731502931294,-1.611887467812015,-0.2804631789064798,-0.21212121212121218,108,10.613969754365213,1.0,0.0
4,2018-05-01,1.5,0,3,1,0.5,2,-1.4689369373323418,-1.5013713062708045,-1.3778797322250893,0.06060606060606066,82,9.475537124796562,0.0,1.0
5,2018-06-01,1.5,0,3,1,0.0,2,-1.5889120206638954,-1.4768121592616468,-0.7968944981152375,-0.9242424242424242,88,9.758173437422366,0.0,1.0
6,2018-07-01,2.0,0,3,1,0.5,1,-1.6289037151077466,-1.6364466148211727,-0.9331749851286595,-0.12121212121212106,148,12.042276083494743,1.0,0.0
7,2018-08-01,2.0,0,3,1,0.0,1,-1.8022010576977678,-1.918876805426488,-0.6677866683130478,0.8787878787878787,68,8.755721974567901,0.0,1.0
8,2018-09-01,2.0,0,2,1,0.0,2,-1.9488372706585555,-2.201306996031803,-1.3993977038587877,1.8484848484848488,54,7.925269345882742,1.0,0.0
9,2018-10-01,1.0,0,2,1,1.0,2,-1.8821844465854702,-1.9925542464539614,-1.0479375005083835,0.43939393939393945,41,7.008370000202964,0.0,1.0
10,2018-11-01,1.0,0,1,1,0.0,1,-1.788870492883151,-1.734683202857804,0.40811191337186303,-0.5909090909090909,43,7.161347981641865,0.0,1.0
11,2018-12-01,1.0,0,0,1,0.0,2,-1.7622093632539169,-1.9311563789310668,-0.2087366067941524,1.2575757575757576,25,5.546984704734687,1.0,0.0
12,2018-01-13,0.0,0,0,1,0.0,2,-1.8022010576977678,-1.9925542464539614,-1.141182044254409,1.2272727272727273,38,6.7689696416534595,1.0,0.0
13,2018-01-14,0.0,0,0,1,0.5,2,-1.8288621873270021,-1.7592423498669618,-0.6534413538905827,-0.5454545454545454,54,7.925269345882742,1.0,0.0
14,2018-01-15,0.0,0,0,0,1.0,1,-1.4289452428884908,-1.3908551447295943,-0.9331749851286595,-0.2272727272727273,222,14.099671681576467,1.0,0.0
15,2018-01-16,0.0,0,0,1,0.5,2,-1.442275807703108,-1.4768121592616468,-1.0407648432971506,0.07575757575757576,251,14.775794586930813,0.0,1.0
16,2018-01-17,0.0,0,0,1,0.0,1,-1.7488787984393,-1.8329197908944355,-0.6534413538905827,0.13636363636363644,117,10.963610724399118,0.0,1.0
17,2018-01-18,0.0,0,0,1,0.0,1,-1.52225919659081,-1.4890917327662256,1.6704995825488262,-0.34848484848484834,9,3.157336502299259,0.0,1.0
18,2018-01-19,0.0,0,0,1,0.0,1,-1.1090116873376819,-1.083865807115121,0.8097807172008972,0.28787878787878796,78,9.27911373862353,0.0,1.0
19,2018-01-20,0.0,0,0,1,0.0,1,-1.2823090299277036,-1.3417368507112784,-0.6534413538905827,0.15151515151515152,83,9.523609126904327,1.0,0.0
20,2018-01-21,0.0,0,0,1,0.5,2,-1.7355482336246826,-1.9434359524356457,-1.2344265880004344,1.7575757575757576,75,9.127200042226876,1.0,0.0
21,2018-01-22,0.0,0,0,1,1.0,2,-2.388745909540918,-2.422339319114224,-1.6432680490407008,-0.09090909090909086,93,9.983741675926243,0.0,1.0
22,2018-01-23,0.0,0,0,1,0.5,2,-2.175456872507045,-2.3118231575730133,-1.3778797322250893,0.6666666666666667,150,12.106300542521547,0.0,1.0
23,2018-01-24,0.0,0,0,1,0.0,2,-2.175456872507045,-2.189027422527224,-0.9833835856072883,-0.2272727272727273,86,9.665476322044512,0.0,1.0
24,2018-01-25,0.0,0,0,1,0.0,1,-1.4822675021469591,-1.4768121592616468,-0.08680143420319557,-0.5151515151515152,186,13.169792352153566,0.0,1.0
25,2018-01-26,0.0,0,0,1,0.0,0,-1.52225919659081,-1.6610057618303307,1.6704995825488262,1.1515151515151516,34,6.428627270494731,0.0,1.0
