,fecha,estacion,año,mes,festivo,dia_semana,clima,temperatura,sensacion_termica,humedad,viento,registrado,registrado_box,laboral_no,laboral_sí
0,2018-01-01,0.0,0,0.0,0,0.0,1,-0.8290698262307241,-0.6786398814640168,1.268830778719792,-0.21212121212121218,654,267.555884884105,1.0,0.0
1,2018-02-01,0.0,0,1.0,1,1.5,1,-0.7224253077137877,-0.7400377489869113,0.47983848548419045,0.6969696969696969,670,273.03513549002855,0.0,1.0
2,2018-03-01,0.0,0,1.5,1,1.5,2,-1.6289037151077466,-1.746962776362383,-1.3778797322250893,0.6818181818181821,1229,453.922955604971,0.0,1.0
3,2018-04-01,1.0,0,1.5,1,0.5,2,-1.6155731502931294,-1.611887467812015,-0.2804631789064798,-0.21212121212121218,1454,522.5149244899186,1.0,0.0
4,2018-05-01,1.0,0,2.0,1,0.0,2,-1.4689369373323418,-1.5013713062708045,-1.3778797322250893,0.06060606060606066,1518,541.6949468848785,0.0,1.0
5,2018-06-01,1.0,0,3.0,1,1.5,2,-1.5889120206638954,-1.4768121592616468,-0.7968944981152375,-0.9242424242424242,1518,541.6949468848785,0.0,1.0
6,2018-07-01,1.5,0,2.0,1,0.5,1,-1.6289037151077466,-1.6364466148211727,-0.9331749851286595,-0.12121212121212106,1362,494.6967457725717,1.0,0.0
7,2018-08-01,1.5,0,2.5,1,1.0,1,-1.8022010576977678,-1.918876805426488,-0.6677866683130478,0.8787878787878787,891,346.7361037278762,0.0,1.0
8,2018-09-01,1.5,0,2.5,1,1.5,2,-1.9488372706585555,-2.201306996031803,-1.3993977038587877,1.8484848484848488,768,306.1460943761287,1.0,0.0
9,2018-10-01,1.0,0,2.0,1,0.0,2,-1.8821844465854702,-1.9925542464539614,-1.0479375005083835,0.43939393939393945,1280,469.6400763894595,0.0,1.0
10,2018-11-01,1.0,0,1.5,1,1.5,1,-1.788870492883151,-1.734683202857804,0.40811191337186303,-0.5909090909090909,1220,451.13828345939766,0.0,1.0
11,2018-12-01,1.0,0,1.0,1,1.5,2,-1.7622093632539169,-1.9311563789310668,-0.2087366067941524,1.2575757575757576,1137,425.29365441398716,1.0,0.0
12,2018-01-13,0.0,0,0.0,1,1.5,2,-1.8022010576977678,-1.9925542464539614,-1.141182044254409,1.2272727272727273,1368,496.5202202317562,1.0,0.0
13,2018-01-14,0.0,0,0.0,1,0.5,2,-1.8288621873270021,-1.7592423498669618,-0.6534413538905827,-0.5454545454545454,1367,496.21639960338837,1.0,0.0
14,2018-01-15,0.0,0,0.0,0,0.0,1,-1.4289452428884908,-1.3908551447295943,-0.9331749851286595,-0.2272727272727273,1026,390.23549858284713,1.0,0.0
15,2018-01-16,0.0,0,0.0,1,0.0,2,-1.442275807703108,-1.4768121592616468,-1.0407648432971506,0.07575757575757576,953,366.8395084402412,0.0,1.0
16,2018-01-17,0.0,0,0.0,1,1.0,1,-1.7488787984393,-1.8329197908944355,-0.6534413538905827,0.13636363636363644,883,344.1255933448396,0.0,1.0
17,2018-01-18,0.0,0,0.0,1,1.5,1,-1.52225919659081,-1.4890917327662256,1.6704995825488262,-0.34848484848484834,674,274.4015579647264,0.0,1.0
18,2018-01-19,0.0,0,0.0,1,1.5,1,-1.1090116873376819,-1.083865807115121,0.8097807172008972,0.28787878787878796,1572,557.7743839557065,0.0,1.0
19,2018-01-20,0.0,0,0.0,1,1.5,1,-1.2823090299277036,-1.3417368507112784,-0.6534413538905827,0.15151515151515152,1844,637.4533070797764,1.0,0.0
20,2018-01-21,0.0,0,0.0,1,0.5,2,-1.7355482336246826,-1.9434359524356457,-1.2344265880004344,1.7575757575757576,1468,526.7222561660833,1.0,0.0
